epoch,split,t_utc,lr,loss,iou_fused,clips,secs,zero_grad_frames
0,val,2026-09-25T18:38:11Z,0.0001,0.24949,0.74145,223,148.8,0
1,train,2026-09-25T19:08:24Z,0.0,0.29709,0.68184,2044,1813.2,35
1,val,2026-09-25T19:10:56Z,0.0,0.21431,0.76369,223,152.4,0
2,train,2026-09-25T19:40:53Z,9.995704014959043e-05,0.25266,0.71814,2044,1795.6,12
2,val,2026-09-25T19:43:40Z,9.995704014959043e-05,0.21032,0.77048,223,166.8,0
3,train,2026-09-25T20:13:26Z,9.846864125953692e-05,0.22883,0.74035,2044,1785.0,15
3,val,2026-09-25T20:16:01Z,9.846864125953692e-05,0.19913,0.77801,223,154.9,0
4,train,2026-09-25T20:46:01Z,9.491726998776184e-05,0.20797,0.75942,2044,1797.9,8
4,val,2026-09-25T20:48:32Z,9.491726998776184e-05,0.21855,0.76536,223,151.6,0
5,train,2026-09-25T21:18:05Z,8.945408346721803e-05,0.19315,0.77334,2044,1772.4,4
5,val,2026-09-25T21:21:10Z,8.945408346721803e-05,0.21701,0.76618,223,184.4,0
6,train,2026-09-25T21:54:01Z,8.231161148655226e-05,0.17646,0.78877,2044,1970.6,5
6,val,2026-09-25T21:56:35Z,8.231161148655226e-05,0.22294,0.76043,223,154.1,0
7,train,2026-09-25T22:27:33Z,7.379385931701677e-05,0.16396,0.80102,2044,1767.3,6
7,val,2026-09-25T22:30:06Z,7.379385931701677e-05,0.24327,0.75261,223,153.4,0
8,train,2026-09-25T23:00:25Z,6.426336832604968e-05,0.15192,0.813,2044,1817.4,14
8,val,2026-09-25T23:03:01Z,6.426336832604968e-05,0.24022,0.75435,223,156.4,0
9,train,2026-09-25T23:33:03Z,5.4125785117056506e-05,0.1408,0.82428,2044,1801.2,6
9,val,2026-09-25T23:35:54Z,5.4125785117056506e-05,0.26352,0.74548,223,171.3,0
10,train,2026-09-26T00:06:49Z,4.381259597960686e-05,0.13127,0.83415,2044,1854.1,9
10,val,2026-09-26T00:09:25Z,4.381259597960686e-05,0.29121,0.73241,223,155.7,0
11,train,2026-09-26T00:40:09Z,3.376276152421387e-05,0.12321,0.84301,2044,1842.6,7
11,val,2026-09-26T00:42:44Z,3.376276152421387e-05,0.29462,0.73182,223,155.7,0
12,train,2026-09-26T01:12:42Z,2.4404033187344137e-05,0.11736,0.8498,2044,1796.7,6
12,val,2026-09-26T01:15:18Z,2.4404033187344137e-05,0.2978,0.7302,223,155.8,0
13,train,2026-09-26T01:45:13Z,1.6134746832873276e-05,0.11289,0.85536,2044,1794.6,1
13,val,2026-09-26T01:47:49Z,1.6134746832873276e-05,0.29184,0.73376,223,155.8,0
14,train,2026-09-26T02:17:36Z,9.306868369531296e-06,0.10965,0.85921,2044,1786.2,5
14,val,2026-09-26T02:20:11Z,9.306868369531296e-06,0.29533,0.73318,223,155.2,0
15,train,2026-09-26T02:50:00Z,4.211013014282922e-06,0.10831,0.86102,2044,1788.1,3
15,val,2026-09-26T02:52:35Z,4.211013014282922e-06,0.29479,0.73286,223,154.9,0
16,train,2026-09-26T03:22:24Z,1.0640758272317198e-06,0.10756,0.862,2044,1788.2,3
16,val,2026-09-26T03:24:58Z,1.0640758272317198e-06,0.2957,0.73263,223,154.8,0
