epoch,split,t_utc,lr,loss,iou_fused,iou_selected,iou_best,prompted_frac,clips,secs,zero_grad_frames
0,val,2026-09-25T22:52:24Z,0.0001,0.29453,0.64665,0.65421,0.71788,0.5891,223,159.4,0
1,train,2026-09-25T23:24:00Z,0.0,0.29557,0.59613,0.6037,0.68489,0.6405,2204,1896.4,18
1,val,2026-09-25T23:26:43Z,0.0,0.24132,0.65643,0.67001,0.74379,0.5841,223,162.5,0
2,train,2026-09-25T23:59:25Z,9.846661923021638e-05,0.24814,0.63758,0.64651,0.72407,0.6531,2204,1960.8,19
2,val,2026-09-26T00:02:07Z,9.846661923021638e-05,0.22949,0.68298,0.68242,0.7521,0.4966,223,162.1,0
3,train,2026-09-26T00:34:32Z,8.944974941881767e-05,0.22539,0.65932,0.67085,0.74572,0.6464,2204,1943.8,12
3,val,2026-09-26T00:37:15Z,8.944974941881767e-05,0.22866,0.68598,0.69741,0.75535,0.528,223,162.4,0
4,train,2026-09-26T01:08:56Z,7.378868853336482e-05,0.20368,0.67966,0.6944,0.76504,0.6517,2204,1900.2,6
4,val,2026-09-26T01:11:39Z,7.378868853336482e-05,0.25443,0.66649,0.67304,0.742,0.5336,223,162.6,0
5,train,2026-09-26T01:43:31Z,5.412109796533198e-05,0.18658,0.69722,0.71549,0.7813,0.6452,2204,1910.9,9
5,val,2026-09-26T01:46:14Z,5.412109796533198e-05,0.25008,0.67176,0.68136,0.74599,0.5415,223,163.7,0
6,train,2026-09-26T02:18:03Z,3.375942536332048e-05,0.17149,0.7141,0.73497,0.79533,0.6452,2204,1907.7,13
6,val,2026-09-26T02:20:46Z,3.375942536332048e-05,0.25948,0.66879,0.67439,0.74191,0.5504,223,162.9,0
7,train,2026-09-26T02:52:36Z,1.6133016802987878e-05,0.16162,0.72522,0.74849,0.80526,0.6538,2204,1909.8,11
7,val,2026-09-26T02:55:20Z,1.6133016802987878e-05,0.26505,0.66605,0.67148,0.73966,0.5364,223,163.2,0
8,train,2026-09-26T03:27:05Z,4.210540733425311e-06,0.15714,0.72949,0.75371,0.80971,0.6462,2204,1904.7,17
8,val,2026-09-26T03:29:50Z,4.210540733425311e-06,0.26628,0.6654,0.67323,0.73979,0.5499,223,164.4,0
