epoch,split,t_utc,lr,loss,iou_fused,iou_selected,iou_best,prompted_frac,clips,secs,zero_grad_frames
0,val,2026-09-26T04:00:57Z,0.0001,0.46015,0.51859,0.50871,0.59418,0.9182,223,166.3,0
1,train,2026-09-26T04:32:28Z,0.0,0.34653,0.52905,0.52858,0.61813,0.6405,2204,1890.3,78
1,val,2026-09-26T04:35:18Z,0.0,0.27455,0.6012,0.60386,0.68039,0.9882,223,170.9,0
2,train,2026-09-26T05:07:05Z,9.846661923021638e-05,0.27486,0.58854,0.58902,0.67489,0.6531,2204,1905.3,15
2,val,2026-09-26T05:09:56Z,9.846661923021638e-05,0.2782,0.5994,0.60286,0.68074,0.9955,223,171.6,0
3,train,2026-09-26T05:41:37Z,8.944974941881767e-05,0.24599,0.61792,0.6205,0.70238,0.6464,2204,1900.1,20
3,val,2026-09-26T05:44:29Z,8.944974941881767e-05,0.25129,0.63729,0.63901,0.70439,0.986,223,172.1,0
4,train,2026-09-26T06:16:08Z,7.378868853336482e-05,0.22074,0.64496,0.65091,0.7273,0.6517,2204,1898.0,11
4,val,2026-09-26T06:19:02Z,7.378868853336482e-05,0.25384,0.63901,0.63785,0.70169,0.9899,223,174.1,0
5,train,2026-09-26T06:50:45Z,5.412109796533198e-05,0.19965,0.66761,0.67897,0.74843,0.6452,2204,1901.9,18
5,val,2026-09-26T06:53:40Z,5.412109796533198e-05,0.27527,0.61989,0.61524,0.69096,0.9955,223,174.5,0
6,train,2026-09-26T07:25:16Z,3.375942536332048e-05,0.18267,0.68764,0.70165,0.76592,0.6452,2204,1895.4,16
6,val,2026-09-26T07:28:10Z,3.375942536332048e-05,0.27941,0.61825,0.61586,0.68931,0.9938,223,174.1,0
7,train,2026-09-26T07:59:41Z,1.6133016802987878e-05,0.17149,0.70164,0.71795,0.77805,0.6538,2204,1890.7,9
7,val,2026-09-26T08:02:35Z,1.6133016802987878e-05,0.27726,0.62141,0.61811,0.69124,0.9927,223,174.0,0
8,train,2026-09-26T08:34:12Z,4.210540733425311e-06,0.16714,0.70578,0.72445,0.78339,0.6462,2204,1896.4,18
8,val,2026-09-26T08:37:06Z,4.210540733425311e-06,0.28289,0.61655,0.61377,0.68778,0.9927,223,174.4,0
