epoch,split,t_utc,lr,loss,iou_fused,iou_selected,iou_best,prompted_frac,clips,secs,zero_grad_frames
0,val,2026-09-26T09:00:20Z,0.0001,0.29453,0.64665,0.65421,0.71788,0.5891,223,155.2,0
1,train,2026-09-26T09:30:54Z,0.0,0.31289,0.57846,0.58869,0.67107,0.4642,2204,1833.6,39
1,val,2026-09-26T09:33:35Z,0.0,0.24316,0.67204,0.67865,0.74406,0.5437,223,161.7,0
2,train,2026-09-26T10:05:59Z,9.846661923021638e-05,0.26497,0.61862,0.62879,0.70886,0.4828,2204,1942.7,15
2,val,2026-09-26T10:08:44Z,9.846661923021638e-05,0.22654,0.67947,0.68775,0.75662,0.5224,223,165.1,0
3,train,2026-09-26T10:40:34Z,8.944974941881767e-05,0.23859,0.64082,0.65317,0.73294,0.4745,2204,1908.2,12
3,val,2026-09-26T10:43:18Z,8.944974941881767e-05,0.23636,0.67751,0.68627,0.74925,0.5056,223,163.9,0
4,train,2026-09-26T11:15:02Z,7.378868853336482e-05,0.21729,0.66145,0.6761,0.75234,0.4745,2204,1903.8,9
4,val,2026-09-26T11:17:47Z,7.378868853336482e-05,0.237,0.67851,0.68813,0.75226,0.5191,223,164.4,0
5,train,2026-09-26T11:49:30Z,5.412109796533198e-05,0.19781,0.68209,0.69881,0.7706,0.4719,2204,1902.9,11
5,val,2026-09-26T11:52:15Z,5.412109796533198e-05,0.25624,0.66266,0.67245,0.74291,0.5516,223,164.7,0
6,train,2026-09-26T12:24:09Z,3.375942536332048e-05,0.18143,0.69934,0.72017,0.78538,0.4711,2204,1914.0,18
6,val,2026-09-26T12:26:55Z,3.375942536332048e-05,0.25335,0.66236,0.67184,0.74278,0.5712,223,165.6,0
7,train,2026-09-26T12:58:47Z,1.6133016802987878e-05,0.17003,0.71116,0.73515,0.79633,0.4793,2204,1911.7,13
7,val,2026-09-26T13:01:32Z,1.6133016802987878e-05,0.2585,0.65873,0.66678,0.74122,0.5583,223,165.2,0
8,train,2026-09-26T13:33:29Z,4.210540733425311e-06,0.16577,0.71564,0.74103,0.80081,0.4749,2204,1916.8,20
8,val,2026-09-26T13:36:15Z,4.210540733425311e-06,0.25802,0.66122,0.6694,0.7421,0.5566,223,165.3,0
